player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position
Davyd Barandun (D),HC Davos,14,0,0,0,0.00,2,-4,https://www.eliteprospects.com/player/364236/davyd-barandun,2017-2018,nl,Davyd Barandun (D),D
Enzo Guebey (D),Genève-Servette HC,16,0,0,0,0.00,2,1,https://www.eliteprospects.com/player/270301/enzo-guebey,2017-2018,nl,Enzo Guebey (D),D
Lee Roberts (RW/LW),Lausanne HC,17,0,0,0,0.00,0,0,https://www.eliteprospects.com/player/228308/lee-roberts,2017-2018,nl,Lee Roberts (RW/LW),RW/LW
Livio Stadler (D),EV Zug,17,0,0,0,0.00,2,1,https://www.eliteprospects.com/player/220967/livio-stadler,2017-2018,nl,Livio Stadler (D),D
Cédric Hächler (D),EHC Biel-Bienne,18,0,0,0,0.00,6,-3,https://www.eliteprospects.com/player/70428/cedric-hachler,2017-2018,nl,Cédric Hächler (D),D
Nelson Chiquet (LW/RW),HC Fribourg-Gottéron,29,0,0,0,0.00,10,-8,https://www.eliteprospects.com/player/148706/nelson-chiquet,2017-2018,nl,Nelson Chiquet (LW/RW),LW/RW
Fabian Haberstich (LW/RW),EV Zug,32,0,0,0,0.00,6,-6,https://www.eliteprospects.com/player/103841/fabian-haberstich,2017-2018,nl,Fabian Haberstich (LW/RW),LW/RW
Dominik Kubalik (LW/RW),HC Ambrì-Piotta,50,25,32,57,1.14,18,5,https://www.eliteprospects.com/player/101221/dominik-kubalik,2018-2019,nl,Dominik Kubalik (LW/RW),LW/RW
Mark Arcobello (RW/C),SC Bern,49,21,32,53,1.08,79,20,https://www.eliteprospects.com/player/33230/mark-arcobello,2018-2019,nl,Mark Arcobello (RW/C),RW/C
Grégory Hofmann (LW),HC Lugano,50,30,21,51,1.02,24,15,https://www.eliteprospects.com/player/66536/gregory-hofmann,2018-2019,nl,Grégory Hofmann (LW),LW
Toni Rajala (LW/RW),EHC Biel-Bienne,50,27,21,48,0.96,36,8,https://www.eliteprospects.com/player/16035/toni-rajala,2018-2019,nl,Toni Rajala (LW/RW),LW/RW
Dustin Jeffrey (C),Lausanne HC,44,15,31,46,1.05,10,9,https://www.eliteprospects.com/player/11115/dustin-jeffrey,2018-2019,nl,Dustin Jeffrey (C),C
Chris DiDomenico (C/RW),SCL Tigers,48,10,36,46,0.96,134,5,https://www.eliteprospects.com/player/11319/chris-didomenico,2018-2019,nl,Chris DiDomenico (C/RW),C/RW
Lino Martschini (RW),EV Zug,50,22,22,44,0.88,6,14,https://www.eliteprospects.com/player/70432/lino-martschini,2018-2019,nl,Lino Martschini (RW),RW
Harri Pesonen (LW),SCL Tigers,50,21,22,43,0.86,40,1,https://www.eliteprospects.com/player/15181/harri-pesonen,2018-2019,nl,Harri Pesonen (LW),LW
Dominic Zwerger (LW),HC Ambrì-Piotta,49,17,25,42,0.86,30,-6,https://www.eliteprospects.com/player/133420/dominic-zwerger,2018-2019,nl,Dominic Zwerger (LW),LW
Raffaele Sannitz (C/LW),HC Lugano,48,11,29,40,0.83,64,11,https://www.eliteprospects.com/player/12696/raffaele-sannitz,2018-2019,nl,Raffaele Sannitz (C/LW),C/LW
Julien Sprunger (RW),HC Fribourg-Gottéron,50,20,18,38,0.76,33,-1,https://www.eliteprospects.com/player/9242/julien-sprunger,2018-2019,nl,Julien Sprunger (RW),RW
Gaëtan Haas (C),SC Bern,50,15,23,38,0.76,14,12,https://www.eliteprospects.com/player/34816/gaetan-haas,2018-2019,nl,Gaëtan Haas (C),C
Damien Brunner (RW/LW),EHC Biel-Bienne,50,18,19,37,0.74,22,-6,https://www.eliteprospects.com/player/18949/damien-brunner,2018-2019,nl,Damien Brunner (RW/LW),RW/LW
Simon Moser (C/W),SC Bern,50,17,19,36,0.72,55,18,https://www.eliteprospects.com/player/15163/simon-moser,2018-2019,nl,Simon Moser (C/W),C/W
Tanner Richard (C),Genève-Servette HC,49,8,28,36,0.73,64,6,https://www.eliteprospects.com/player/41755/tanner-richard,2018-2019,nl,Tanner Richard (C),C
