player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position
Ryan Lasch (RW),Frölunda HC,51,15,36,51,1.00,20,10,https://www.eliteprospects.com/player/12382/ryan-lasch,2015-2016,shl,Ryan Lasch (RW),RW
Patrick Thoresen (W/C),Djurgårdens IF,49,15,33,48,0.98,34,12,https://www.eliteprospects.com/player/3419/patrick-thoresen,2015-2016,shl,Patrick Thoresen (W/C),W/C
Patrik Zackrisson (C/RW),Skellefteå AIK,52,15,33,48,0.92,68,25,https://www.eliteprospects.com/player/2020/patrik-zackrisson,2015-2016,shl,Patrik Zackrisson (C/RW),C/RW
Milan Gulas (RW),Färjestad BK,51,20,25,45,0.88,20,-4,https://www.eliteprospects.com/player/22577/milan-gulas,2015-2016,shl,Milan Gulas (RW),RW
Richard Gynge (RW),Växjö Lakers HC,46,21,23,44,0.96,24,23,https://www.eliteprospects.com/player/3482/richard-gynge,2015-2016,shl,Richard Gynge (RW),RW
Andreas Johnsson (LW/RW),Frölunda HC,52,19,25,44,0.85,20,8,https://www.eliteprospects.com/player/43991/andreas-johnsson,2015-2016,shl,Andreas Johnsson (LW/RW),LW/RW
Andrew Gordon (RW),Linköping HC,52,18,26,44,0.85,30,18,https://www.eliteprospects.com/player/11449/andrew-gordon,2015-2016,shl,Andrew Gordon (RW),RW
John Norman (C/W),Skellefteå AIK,47,17,25,42,0.89,18,5,https://www.eliteprospects.com/player/7782/john-norman,2015-2016,shl,John Norman (C/W),C/W
Garrett Roe (C),Linköping HC,41,14,27,41,1.00,28,14,https://www.eliteprospects.com/player/14867/garrett-roe,2015-2016,shl,Garrett Roe (C),C
Matt Anderson (RW/C),Djurgårdens IF,52,18,22,40,0.77,30,8,https://www.eliteprospects.com/player/13432/matt-anderson,2015-2016,shl,Matt Anderson (RW/C),RW/C
Mikael Johansson (C/LW),Färjestad BK,51,12,28,40,0.78,18,6,https://www.eliteprospects.com/player/2647/mikael-johansson,2015-2016,shl,Mikael Johansson (C/LW),C/LW
Robert Rosén (C),Växjö Lakers HC,52,17,22,39,0.75,22,27,https://www.eliteprospects.com/player/5738/robert-rosen,2015-2016,shl,Robert Rosén (C),C
Greg Scott (C/RW),Brynäs IF,52,16,23,39,0.75,16,1,https://www.eliteprospects.com/player/15395/greg-scott,2015-2016,shl,Greg Scott (C/RW),C/RW
Joel Lundqvist (C),Frölunda HC,45,19,19,38,0.84,22,9,https://www.eliteprospects.com/player/305/joel-lundqvist,2015-2016,shl,Joel Lundqvist (C),C
Daniel Viksten (RW),Örebro HK,49,17,20,37,0.76,4,0,https://www.eliteprospects.com/player/7219/daniel-viksten,2015-2016,shl,Daniel Viksten (RW),RW
Anton Rödin (RW/LW),Brynäs IF,33,16,21,37,1.12,18,7,https://www.eliteprospects.com/player/7084/anton-rodin,2015-2016,shl,Anton Rödin (RW/LW),RW/LW
Jack Connolly (C),Rögle BK,50,9,28,37,0.74,14,0,https://www.eliteprospects.com/player/15676/jack-connolly,2015-2016,shl,Jack Connolly (C),C
Patrick Cehlin (RW),Rögle BK,52,20,16,36,0.69,52,-2,https://www.eliteprospects.com/player/6047/patrick-cehlin,2015-2016,shl,Patrick Cehlin (RW),RW
Johan Sundström (C),Frölunda HC,51,17,19,36,0.71,16,21,https://www.eliteprospects.com/player/16727/johan-sundstrom,2015-2016,shl,Johan Sundström (C),C
Markus Ljungh (C),Djurgårdens IF,48,13,23,36,0.75,12,14,https://www.eliteprospects.com/player/13329/markus-ljungh,2015-2016,shl,Markus Ljungh (C),C
Broc Little (LW),Linköping HC,43,21,14,35,0.81,24,7,https://www.eliteprospects.com/player/34071/broc-little,2015-2016,shl,Broc Little (LW),LW
Spencer Abbott (W/C),Frölunda HC,42,14,21,35,0.83,4,8,https://www.eliteprospects.com/player/24817/spencer-abbott,2015-2016,shl,Spencer Abbott (W/C),W/C
Nick Johnson (RW),Brynäs IF,52,22,12,34,0.65,16,-16,https://www.eliteprospects.com/player/17765/nick-johnson,2015-2016,shl,Nick Johnson (RW),RW
Andrew Calof (RW),Skellefteå AIK,52,19,15,34,0.65,45,11,https://www.eliteprospects.com/player/40211/andrew-calof,2015-2016,shl,Andrew Calof (RW),RW
Marcus Sörensen (W),Djurgårdens IF,47,15,19,34,0.72,34,12,https://www.eliteprospects.com/player/20065/marcus-sorensen,2015-2016,shl,Marcus Sörensen (W),W
Martin Johansson (LW),Örebro HK,48,15,19,34,0.71,8,5,https://www.eliteprospects.com/player/2047/martin-johansson,2015-2016,shl,Martin Johansson (LW),LW
Jacob Micflikier (LW/RW),Luleå HF,52,19,14,33,0.63,34,8,https://www.eliteprospects.com/player/12031/jacob-micflikier,2015-2016,shl,Jacob Micflikier (LW/RW),LW/RW
Artturi Lehkonen (LW/RW),Frölunda HC,49,16,17,33,0.67,12,6,https://www.eliteprospects.com/player/43584/artturi-lehkonen,2015-2016,shl,Artturi Lehkonen (LW/RW),LW/RW
Martin Thörnberg (LW),HV71,49,11,22,33,0.67,20,3,https://www.eliteprospects.com/player/2058/martin-thornberg,2015-2016,shl,Martin Thörnberg (LW),LW
Pathrik Westerholm (C),Brynäs IF,52,7,26,33,0.63,18,6,https://www.eliteprospects.com/player/13146/pathrik-westerholm,2015-2016,shl,Pathrik Westerholm (C),C
Mattias Guter (RW),Karlskrona HK,48,19,13,32,0.67,10,-17,https://www.eliteprospects.com/player/4356/mattias-guter,2015-2016,shl,Mattias Guter (RW),RW
Toni Rajala (LW/RW),Luleå HF,52,17,15,32,0.62,8,1,https://www.eliteprospects.com/player/16035/toni-rajala,2015-2016,shl,Toni Rajala (LW/RW),LW/RW
Mattias Tedenby (LW),HV71,47,13,19,32,0.68,41,-4,https://www.eliteprospects.com/player/6013/mattias-tedenby,2015-2016,shl,Mattias Tedenby (LW),LW
Mattias Ritola (LW/RW),Skellefteå AIK,33,9,23,32,0.97,16,9,https://www.eliteprospects.com/player/2050/mattias-ritola,2015-2016,shl,Mattias Ritola (LW/RW),LW/RW
Tomi Sallinen (C/W),Djurgårdens IF,46,8,24,32,0.70,30,-2,https://www.eliteprospects.com/player/11384/tomi-sallinen,2015-2016,shl,Tomi Sallinen (C/W),C/W
Lucas Wallmark (C),Luleå HF,48,8,24,32,0.67,20,5,https://www.eliteprospects.com/player/39022/lucas-wallmark,2015-2016,shl,Lucas Wallmark (C),C
Linus Hultström (D),Djurgårdens IF,52,12,19,31,0.60,16,17,https://www.eliteprospects.com/player/15878/linus-hultstrom,2015-2016,shl,Linus Hultström (D),D
Chad Billins (D),Linköping HC,50,7,24,31,0.62,14,27,https://www.eliteprospects.com/player/38808/chad-billins,2015-2016,shl,Chad Billins (D),D
Tuomas Kiiskinen (LW),Växjö Lakers HC,45,16,14,30,0.67,10,20,https://www.eliteprospects.com/player/7505/tuomas-kiiskinen,2015-2016,shl,Tuomas Kiiskinen (LW),LW
Nils Andersson (D),Malmö Redhawks,49,6,24,30,0.61,37,-4,https://www.eliteprospects.com/player/10516/nils-andersson,2015-2016,shl,Nils Andersson (D),D
Jonas Junland (D),Linköping HC,51,5,25,30,0.59,36,-2,https://www.eliteprospects.com/player/3442/jonas-junland,2015-2016,shl,Jonas Junland (D),D
Rhett Rakhshani (RW),Linköping HC,33,14,15,29,0.88,14,10,https://www.eliteprospects.com/player/9315/rhett-rakhshani,2015-2016,shl,Rhett Rakhshani (RW),RW
Victor Olofsson (LW/RW),MODO Hockey,49,14,15,29,0.59,6,-1,https://www.eliteprospects.com/player/86308/victor-olofsson,2015-2016,shl,Victor Olofsson (LW/RW),LW/RW
Henrik Tömmernes (D),Frölunda HC,50,10,19,29,0.58,14,12,https://www.eliteprospects.com/player/10018/henrik-tommernes,2015-2016,shl,Henrik Tömmernes (D),D
Simon Önerud (LW/RW),HV71,48,17,11,28,0.58,26,-2,https://www.eliteprospects.com/player/4513/simon-onerud,2015-2016,shl,Simon Önerud (LW/RW),LW/RW
Libor Hudáček (RW/C),Örebro HK,48,14,14,28,0.58,42,7,https://www.eliteprospects.com/player/17727/libor-hudacek,2015-2016,shl,Libor Hudáček (RW/C),RW/C
Johan Harju (LW),Luleå HF,49,11,17,28,0.57,16,0,https://www.eliteprospects.com/player/2349/johan-harju,2015-2016,shl,Johan Harju (LW),LW
Niclas Burström (D),Skellefteå AIK,50,9,19,28,0.56,42,20,https://www.eliteprospects.com/player/7281/niclas-burstrom,2015-2016,shl,Niclas Burström (D),D
Marcus Högström (D),Djurgårdens IF,50,8,20,28,0.56,56,12,https://www.eliteprospects.com/player/6403/marcus-hogstrom,2015-2016,shl,Marcus Högström (D),D
Ludvig Rensfeldt (C),Rögle BK,52,15,12,27,0.52,16,-4,https://www.eliteprospects.com/player/13161/ludvig-rensfeldt,2015-2016,shl,Ludvig Rensfeldt (C),C
Jesper Olofsson (LW/RW),Karlskrona HK,52,13,13,26,0.50,6,-11,https://www.eliteprospects.com/player/15213/jesper-olofsson,2015-2016,shl,Jesper Olofsson (LW/RW),LW/RW
Emil Pettersson (W/C),MODO Hockey,52,12,14,26,0.50,28,-9,https://www.eliteprospects.com/player/27331/emil-pettersson,2015-2016,shl,Emil Pettersson (W/C),W/C
Magnus Nygren (D),Färjestad BK,47,8,18,26,0.55,24,14,https://www.eliteprospects.com/player/10538/magnus-nygren,2015-2016,shl,Magnus Nygren (D),D
Joel Mustonen (C/LW),Örebro HK,46,15,10,25,0.54,41,7,https://www.eliteprospects.com/player/14811/joel-mustonen,2015-2016,shl,Joel Mustonen (C/LW),C/LW
Peter Mueller (RW/C),Malmö Redhawks,43,13,12,25,0.58,16,-11,https://www.eliteprospects.com/player/9220/peter-mueller,2015-2016,shl,Peter Mueller (RW/C),RW/C
Alexander Bergström (LW/RW),Karlskrona HK,37,10,15,25,0.68,10,-6,https://www.eliteprospects.com/player/2074/alexander-bergstrom,2015-2016,shl,Alexander Bergström (LW/RW),LW/RW
Riley Holzapfel (C),Karlskrona HK,48,9,16,25,0.52,24,-8,https://www.eliteprospects.com/player/11059/riley-holzapfel,2015-2016,shl,Riley Holzapfel (C),C
Oskar Lindblom (LW),Brynäs IF,48,8,17,25,0.52,14,3,https://www.eliteprospects.com/player/86181/oskar-lindblom,2015-2016,shl,Oskar Lindblom (LW),LW
Niklas Persson (C),Linköping HC,50,8,17,25,0.50,16,11,https://www.eliteprospects.com/player/356/niklas-persson,2015-2016,shl,Niklas Persson (C),C
Cory Murphy (D),Växjö Lakers HC,52,3,22,25,0.48,45,-4,https://www.eliteprospects.com/player/3583/cory-murphy,2015-2016,shl,Cory Murphy (D),D
Andreas Thuresson (LW/RW),Malmö Redhawks,42,14,10,24,0.57,55,0,https://www.eliteprospects.com/player/4024/andreas-thuresson,2015-2016,shl,Andreas Thuresson (LW/RW),LW/RW
Robin Alvarez (LW),Djurgårdens IF,49,14,10,24,0.49,34,11,https://www.eliteprospects.com/player/5599/robin-alvarez,2015-2016,shl,Robin Alvarez (LW),LW
Greg Squires (RW),Örebro HK,48,13,11,24,0.50,18,1,https://www.eliteprospects.com/player/15670/greg-squires,2015-2016,shl,Greg Squires (RW),RW
Daniel Brodin (RW),Djurgårdens IF,50,13,11,24,0.48,42,-2,https://www.eliteprospects.com/player/10051/daniel-brodin,2015-2016,shl,Daniel Brodin (RW),RW
Frederik Storm (LW/RW),Malmö Redhawks,46,12,12,24,0.52,8,-6,https://www.eliteprospects.com/player/15200/frederik-storm,2015-2016,shl,Frederik Storm (LW/RW),LW/RW
Erik Christensen (C),HV71,42,9,15,24,0.57,28,-2,https://www.eliteprospects.com/player/10880/erik-christensen,2015-2016,shl,Erik Christensen (C),C
Gustav Possler (LW/RW),MODO Hockey,52,9,15,24,0.46,6,-8,https://www.eliteprospects.com/player/26019/gustav-possler,2015-2016,shl,Gustav Possler (LW/RW),LW/RW
Chris Abbott (C),HV71,50,8,16,24,0.48,41,5,https://www.eliteprospects.com/player/12869/chris-abbott,2015-2016,shl,Chris Abbott (C),C
Ilkka Heikkinen (D),Växjö Lakers HC,49,7,17,24,0.49,14,24,https://www.eliteprospects.com/player/7546/ilkka-heikkinen,2015-2016,shl,Ilkka Heikkinen (D),D
Jacob Lagacé (C/RW),Luleå HF,50,7,17,24,0.48,26,2,https://www.eliteprospects.com/player/17516/jacob-lagace,2015-2016,shl,Jacob Lagacé (C/RW),C/RW
Patrik Carlsson (LW/C),Frölunda HC,51,6,18,24,0.47,12,10,https://www.eliteprospects.com/player/3681/patrik-carlsson,2015-2016,shl,Patrik Carlsson (LW/C),LW/C
Jonathan Granström (C),Luleå HF,49,13,10,23,0.47,30,0,https://www.eliteprospects.com/player/2406/jonathan-granstrom,2015-2016,shl,Jonathan Granström (C),C
Linus Persson (C),Färjestad BK,51,13,10,23,0.45,12,2,https://www.eliteprospects.com/player/686/linus-persson,2015-2016,shl,Linus Persson (C),C
Jakob Lilja (LW),Linköping HC,52,12,11,23,0.44,8,9,https://www.eliteprospects.com/player/16800/jakob-lilja,2015-2016,shl,Jakob Lilja (LW),LW
Nick Sörensen (RW),Linköping HC,37,10,13,23,0.62,37,5,https://www.eliteprospects.com/player/33472/nick-sorensen,2015-2016,shl,Nick Sörensen (RW),RW
Patrik Lundh (C/W),Växjö Lakers HC,47,10,13,23,0.49,8,5,https://www.eliteprospects.com/player/3697/patrik-lundh,2015-2016,shl,Patrik Lundh (C/W),C/W
Joachim Rohdin (RW),Karlskrona HK,52,9,14,23,0.44,18,-19,https://www.eliteprospects.com/player/10515/joachim-rohdin,2015-2016,shl,Joachim Rohdin (RW),RW
Jimmie Ericsson (LW/RW),Skellefteå AIK,37,8,15,23,0.62,59,8,https://www.eliteprospects.com/player/1103/jimmie-ericsson,2015-2016,shl,Jimmie Ericsson (LW/RW),LW/RW
Axel Holmström (C),Skellefteå AIK,48,8,15,23,0.48,20,-3,https://www.eliteprospects.com/player/86320/axel-holmstrom,2015-2016,shl,Axel Holmström (C),C
Tim Heed (D),Skellefteå AIK,52,8,15,23,0.44,2,6,https://www.eliteprospects.com/player/10065/tim-heed,2015-2016,shl,Tim Heed (D),D
Bill Thomas (RW),MODO Hockey,48,12,10,22,0.46,18,-9,https://www.eliteprospects.com/player/8853/bill-thomas,2015-2016,shl,Bill Thomas (RW),RW
Janne Pesonen (LW),Skellefteå AIK,21,11,11,22,1.05,2,9,https://www.eliteprospects.com/player/4285/janne-pesonen,2015-2016,shl,Janne Pesonen (LW),LW
Jens Olsson (D),Malmö Redhawks,51,9,13,22,0.43,16,-18,https://www.eliteprospects.com/player/2360/jens-olsson,2015-2016,shl,Jens Olsson (D),D
Robin Figren (RW),Frölunda HC,52,9,13,22,0.42,24,6,https://www.eliteprospects.com/player/3636/robin-figren,2015-2016,shl,Robin Figren (RW),RW
Adam Pettersson (C),Skellefteå AIK,52,8,14,22,0.42,12,12,https://www.eliteprospects.com/player/10712/adam-pettersson,2015-2016,shl,Adam Pettersson (C),C
Christopher Liljewall (C/LW),Rögle BK,52,8,14,22,0.42,20,8,https://www.eliteprospects.com/player/5650/christopher-liljewall,2015-2016,shl,Christopher Liljewall (C/LW),C/LW
Niklas Hansson (D),HV71,44,7,15,22,0.50,14,-12,https://www.eliteprospects.com/player/86135/niklas-hansson,2015-2016,shl,Niklas Hansson (D),D
Sebastian Wännström (RW),Rögle BK,50,14,7,21,0.42,24,-19,https://www.eliteprospects.com/player/9782/sebastian-wannstrom,2015-2016,shl,Sebastian Wännström (RW),RW
Martin Lundberg (W/C),Skellefteå AIK,44,13,8,21,0.48,22,8,https://www.eliteprospects.com/player/7074/martin-lundberg,2015-2016,shl,Martin Lundberg (W/C),W/C
Anton Hedman (LW/RW),Luleå HF,49,9,12,21,0.43,54,5,https://www.eliteprospects.com/player/3841/anton-hedman,2015-2016,shl,Anton Hedman (LW/RW),LW/RW
Filip Sandberg (C/RW),HV71,52,9,12,21,0.40,14,-9,https://www.eliteprospects.com/player/33931/filip-sandberg,2015-2016,shl,Filip Sandberg (C/RW),C/RW
Nicklas Lasu (C),Frölunda HC,51,8,13,21,0.41,30,13,https://www.eliteprospects.com/player/5016/nicklas-lasu,2015-2016,shl,Nicklas Lasu (C),C
Robbie Earl (C/LW),Färjestad BK,33,6,15,21,0.64,18,-1,https://www.eliteprospects.com/player/9414/robbie-earl,2015-2016,shl,Robbie Earl (C/LW),C/LW
Gustav Forsling (D),Linköping HC,48,6,15,21,0.44,4,21,https://www.eliteprospects.com/player/86366/gustav-forsling,2015-2016,shl,Gustav Forsling (D),D
Dominik Granak (D),Rögle BK,52,6,15,21,0.40,40,-9,https://www.eliteprospects.com/player/11021/dominik-granak,2015-2016,shl,Dominik Granak (D),D
Joey Tenute (C),Malmö Redhawks,46,5,16,21,0.46,26,-8,https://www.eliteprospects.com/player/11557/joey-tenute,2015-2016,shl,Joey Tenute (C),C
Erik Forssell (C),Skellefteå AIK,48,5,16,21,0.44,10,6,https://www.eliteprospects.com/player/969/erik-forssell,2015-2016,shl,Erik Forssell (C),C
Marcus Weinstock (LW),Örebro HK,52,5,16,21,0.40,16,-8,https://www.eliteprospects.com/player/620/marcus-weinstock,2015-2016,shl,Marcus Weinstock (LW),LW
Oscar Sundh (LW/RW),HV71,52,15,5,20,0.38,18,0,https://www.eliteprospects.com/player/1297/oscar-sundh,2015-2016,shl,Oscar Sundh (LW/RW),LW/RW
Filip Cruseman (LW),Karlskrona HK,45,13,7,20,0.44,8,-13,https://www.eliteprospects.com/player/7024/filip-cruseman,2015-2016,shl,Filip Cruseman (LW),LW
Peter Cehlárik (LW),Luleå HF,46,11,9,20,0.43,4,7,https://www.eliteprospects.com/player/153203/peter-cehlarik,2015-2016,shl,Peter Cehlárik (LW),LW
Liam Reddox (LW),Växjö Lakers HC,45,9,11,20,0.44,14,-1,https://www.eliteprospects.com/player/9496/liam-reddox,2015-2016,shl,Liam Reddox (LW),LW
Mats Rosseli-Olsen (LW),Frölunda HC,47,4,16,20,0.43,55,9,https://www.eliteprospects.com/player/18116/mats-rosseli-olsen,2015-2016,shl,Mats Rosseli-Olsen (LW),LW
Taylor Matson (C/RW),Rögle BK,52,3,17,20,0.38,28,-10,https://www.eliteprospects.com/player/12562/taylor-matson,2015-2016,shl,Taylor Matson (C/RW),C/RW
Jonathan Pudas (D),Brynäs IF,51,2,18,20,0.39,14,-6,https://www.eliteprospects.com/player/33114/jonathan-pudas,2015-2016,shl,Jonathan Pudas (D),D
Jordan Smotherman (LW),Rögle BK,52,14,5,19,0.37,16,-8,https://www.eliteprospects.com/player/11568/jordan-smotherman,2015-2016,shl,Jordan Smotherman (LW),LW
Joakim Nygård (LW),Färjestad BK,47,12,7,19,0.40,16,-2,https://www.eliteprospects.com/player/25858/joakim-nygard,2015-2016,shl,Joakim Nygård (LW),LW
Bobby Butler (RW),MODO Hockey,49,10,9,19,0.39,16,-15,https://www.eliteprospects.com/player/33224/bobby-butler,2015-2016,shl,Bobby Butler (RW),RW
Per-Åge Skrøder (LW),MODO Hockey,50,10,9,19,0.38,14,-21,https://www.eliteprospects.com/player/140/per-age-skroder,2015-2016,shl,Per-Åge Skrøder (LW),LW
Nichlas Hardt (LW/RW),Linköping HC,30,9,10,19,0.63,33,6,https://www.eliteprospects.com/player/15201/nichlas-hardt,2015-2016,shl,Nichlas Hardt (LW/RW),LW/RW
Joakim Hillding (C),Växjö Lakers HC,45,9,10,19,0.42,10,3,https://www.eliteprospects.com/player/4475/joakim-hillding,2015-2016,shl,Joakim Hillding (C),C
Maxim Lapierre (C),MODO Hockey,34,8,11,19,0.56,34,-17,https://www.eliteprospects.com/player/8988/maxim-lapierre,2015-2016,shl,Maxim Lapierre (C),C
John Henrion (RW),Karlskrona HK,46,7,12,19,0.41,20,-12,https://www.eliteprospects.com/player/31275/john-henrion,2015-2016,shl,John Henrion (RW),RW
Adam Almquist (D),HV71,47,6,13,19,0.40,30,-4,https://www.eliteprospects.com/player/10378/adam-almquist,2015-2016,shl,Adam Almquist (D),D
Johan Wiklander (LW/RW),Örebro HK,48,6,13,19,0.40,36,-7,https://www.eliteprospects.com/player/1039/johan-wiklander,2015-2016,shl,Johan Wiklander (LW/RW),LW/RW
Mikko Lehtonen (RW),totals,50,6,13,19,0.38,20,-18,https://www.eliteprospects.com/player/5877/mikko-lehtonen,2015-2016,shl,Mikko Lehtonen (RW),RW
Kent McDonell (RW),Malmö Redhawks,49,11,7,18,0.37,16,1,https://www.eliteprospects.com/player/8745/kent-mcdonell,2015-2016,shl,Kent McDonell (RW),RW
Alexander Johansson (LW/RW),Växjö Lakers HC,43,9,9,18,0.42,18,-1,https://www.eliteprospects.com/player/7697/alexander-johansson,2015-2016,shl,Alexander Johansson (LW/RW),LW/RW
Ponthus Westerholm (RW),Brynäs IF,48,9,9,18,0.38,45,4,https://www.eliteprospects.com/player/13147/ponthus-westerholm,2015-2016,shl,Ponthus Westerholm (RW),RW
Jakub Krejčík (D),Örebro HK,50,5,13,18,0.36,16,-20,https://www.eliteprospects.com/player/98156/jakub-krejcik,2015-2016,shl,Jakub Krejčík (D),D
Chris Campoli (D),HV71,32,3,15,18,0.56,39,0,https://www.eliteprospects.com/player/9106/chris-campoli,2015-2016,shl,Chris Campoli (D),D
Björn Svensson (LW/RW),Malmö Redhawks,47,14,3,17,0.36,10,-6,https://www.eliteprospects.com/player/1296/bjorn-svensson,2015-2016,shl,Björn Svensson (LW/RW),LW/RW
Jonas Holøs (D),Färjestad BK,40,5,12,17,0.43,6,-10,https://www.eliteprospects.com/player/15713/jonas-holos,2015-2016,shl,Jonas Holøs (D),D
Johan Ryno (C),Färjestad BK,44,5,12,17,0.39,12,-3,https://www.eliteprospects.com/player/4120/johan-ryno,2015-2016,shl,Johan Ryno (C),C
Lukas Vejdemo (C),Djurgårdens IF,52,5,12,17,0.33,12,10,https://www.eliteprospects.com/player/142243/lukas-vejdemo,2015-2016,shl,Lukas Vejdemo (C),C
Julien Brouillette (D),Karlskrona HK,52,5,12,17,0.33,32,-17,https://www.eliteprospects.com/player/12123/julien-brouillette,2015-2016,shl,Julien Brouillette (D),D
Petr Zámorský (D),Örebro HK,30,4,13,17,0.57,14,4,https://www.eliteprospects.com/player/70391/petr-zamorsky,2015-2016,shl,Petr Zámorský (D),D
Oscar Fantenberg (D),Frölunda HC,43,4,13,17,0.40,14,7,https://www.eliteprospects.com/player/13743/oscar-fantenberg,2015-2016,shl,Oscar Fantenberg (D),D
Niklas Fogström (C),Linköping HC,51,4,13,17,0.33,14,6,https://www.eliteprospects.com/player/5878/niklas-fogstrom,2015-2016,shl,Niklas Fogström (C),C
John Persson (LW/RW),Färjestad BK,52,12,4,16,0.31,22,-4,https://www.eliteprospects.com/player/20380/john-persson,2015-2016,shl,John Persson (LW/RW),LW/RW
Jesper Ollas (RW/C),Brynäs IF,45,9,7,16,0.36,8,-13,https://www.eliteprospects.com/player/652/jesper-ollas,2015-2016,shl,Jesper Ollas (RW/C),RW/C
Josh Hennessy (C),Växjö Lakers HC,52,8,8,16,0.31,40,-4,https://www.eliteprospects.com/player/10420/josh-hennessy,2015-2016,shl,Josh Hennessy (C),C
Carl Grundström (LW/RW),MODO Hockey,49,7,9,16,0.33,53,-2,https://www.eliteprospects.com/player/113516/carl-grundstrom,2015-2016,shl,Carl Grundström (LW/RW),LW/RW
Craig Schira (D),Luleå HF,51,4,12,16,0.31,16,8,https://www.eliteprospects.com/player/9334/craig-schira,2015-2016,shl,Craig Schira (D),D
Noah Welch (D),MODO Hockey,32,3,13,16,0.50,56,-1,https://www.eliteprospects.com/player/10323/noah-welch,2015-2016,shl,Noah Welch (D),D
Sebastian Aho (D),Skellefteå AIK,39,3,13,16,0.41,12,5,https://www.eliteprospects.com/player/67208/sebastian-aho,2015-2016,shl,Sebastian Aho (D),D
Joel Kellman (C),Karlskrona HK,47,3,13,16,0.34,22,-12,https://www.eliteprospects.com/player/33719/joel-kellman,2015-2016,shl,Joel Kellman (C),C
Emil Sylvegård (LW/RW),Luleå HF,50,3,13,16,0.32,20,1,https://www.eliteprospects.com/player/10450/emil-sylvegard,2015-2016,shl,Emil Sylvegård (LW/RW),LW/RW
Joel Eriksson Ek (C),Färjestad BK,41,9,6,15,0.37,18,7,https://www.eliteprospects.com/player/139633/joel-eriksson-ek,2015-2016,shl,Joel Eriksson Ek (C),C
Jens Jakobs (RW),totals,38,7,8,15,0.39,4,8,https://www.eliteprospects.com/player/1704/jens-jakobs,2015-2016,shl,Jens Jakobs (RW),RW
Emil Larsson (C/LW),Karlskrona HK,49,7,8,15,0.31,14,-19,https://www.eliteprospects.com/player/4632/emil-larsson,2015-2016,shl,Emil Larsson (C/LW),C/LW
Kalle Olsson (LW),Örebro HK,46,6,9,15,0.33,12,4,https://www.eliteprospects.com/player/685/kalle-olsson,2015-2016,shl,Kalle Olsson (LW),LW
Pär Lindholm (C),Skellefteå AIK,52,6,9,15,0.29,26,9,https://www.eliteprospects.com/player/13091/par-lindholm,2015-2016,shl,Pär Lindholm (C),C
Marc Zanetti (D),Brynäs IF,52,6,9,15,0.29,32,0,https://www.eliteprospects.com/player/33882/marc-zanetti,2015-2016,shl,Marc Zanetti (D),D
Anssi Salmela (D),Brynäs IF,24,4,11,15,0.63,47,5,https://www.eliteprospects.com/player/7556/anssi-salmela,2015-2016,shl,Anssi Salmela (D),D
Lukas Kilström (D),Brynäs IF,45,4,11,15,0.33,67,7,https://www.eliteprospects.com/player/6485/lukas-kilstrom,2015-2016,shl,Lukas Kilström (D),D
Emil Djuse (D),MODO Hockey,46,4,11,15,0.33,4,-6,https://www.eliteprospects.com/player/20013/emil-djuse,2015-2016,shl,Emil Djuse (D),D
Sebastian Erixon (D),Färjestad BK,50,4,11,15,0.30,20,4,https://www.eliteprospects.com/player/5546/sebastian-erixon,2015-2016,shl,Sebastian Erixon (D),D
T.J. Galiardi (C/LW),Malmö Redhawks,29,3,12,15,0.52,42,0,https://www.eliteprospects.com/player/12464/t.j.-galiardi,2015-2016,shl,T.J. Galiardi (C/LW),C/LW
Filip Karlsson (C/LW),Rögle BK,47,2,13,15,0.32,2,-9,https://www.eliteprospects.com/player/113813/filip-karlsson,2015-2016,shl,Filip Karlsson (C/LW),C/LW
Sebastian Stålberg (RW),Frölunda HC,51,10,4,14,0.27,8,10,https://www.eliteprospects.com/player/9703/sebastian-stalberg,2015-2016,shl,Sebastian Stålberg (RW),RW
Marko Anttila (RW/LW),Örebro HK,49,8,6,14,0.29,28,1,https://www.eliteprospects.com/player/4283/marko-anttila,2015-2016,shl,Marko Anttila (RW/LW),RW/LW
Lukas Bengtsson (D),Frölunda HC,30,7,7,14,0.47,12,17,https://www.eliteprospects.com/player/67165/lukas-bengtsson,2015-2016,shl,Lukas Bengtsson (D),D
Terry Broadhurst (LW/RW),totals,48,6,8,14,0.29,10,-2,https://www.eliteprospects.com/player/31612/terry-broadhurst,2015-2016,shl,Terry Broadhurst (LW/RW),LW/RW
Brendan Mikkelson (D),Luleå HF,51,6,8,14,0.27,22,9,https://www.eliteprospects.com/player/9355/brendan-mikkelson,2015-2016,shl,Brendan Mikkelson (D),D
Joey Crabb (RW),totals,41,5,9,14,0.34,62,2,https://www.eliteprospects.com/player/9395/joey-crabb,2015-2016,shl,Joey Crabb (RW),RW
Jacob Larsson (D),Frölunda HC,47,5,9,14,0.30,10,11,https://www.eliteprospects.com/player/147719/jacob-larsson,2015-2016,shl,Jacob Larsson (D),D
Jacob Blomqvist (C/RW),Brynäs IF,52,4,10,14,0.27,24,-9,https://www.eliteprospects.com/player/1304/jacob-blomqvist,2015-2016,shl,Jacob Blomqvist (C/RW),C/RW
Ville Viitaluoma (C),Örebro HK,51,3,11,14,0.27,16,2,https://www.eliteprospects.com/player/7583/ville-viitaluoma,2015-2016,shl,Ville Viitaluoma (C),C
