player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position
Kamil Brabenec (LW/C),HKM Zvolen,55,19,39,58,1.05,62,16,https://www.eliteprospects.com/player/504/kamil-brabenec,2015-2016,slovakia,Kamil Brabenec (LW/C),LW/C
Juraj Majdan (LW/RW),HC Banska Bystrica,54,22,31,53,0.98,28,26,https://www.eliteprospects.com/player/34754/juraj-majdan,2015-2016,slovakia,Juraj Majdan (LW/RW),LW/RW
Lukas Hvila (LW),totals,49,29,18,47,0.96,20,1,https://www.eliteprospects.com/player/23654/lukas-hvila,2015-2016,slovakia,Lukas Hvila (LW),LW
Radovan Pulis (RW/C),HKM Zvolen,44,22,24,46,1.05,61,10,https://www.eliteprospects.com/player/19367/radovan-pulis,2015-2016,slovakia,Radovan Pulis (RW/C),RW/C
Jan Semorád (RW/LW),HKM Zvolen,54,22,23,45,0.83,66,17,https://www.eliteprospects.com/player/15145/jan-semorad,2015-2016,slovakia,Jan Semorád (RW/LW),RW/LW
Peter Bartos (RW/C),HC Kosice,54,19,26,45,0.83,26,26,https://www.eliteprospects.com/player/18375/peter-bartos,2015-2016,slovakia,Peter Bartos (RW/C),RW/C
Pavel Klhufek (LW/C),HKM Zvolen,55,19,25,44,0.80,38,13,https://www.eliteprospects.com/player/109329/pavel-klhufek,2015-2016,slovakia,Pavel Klhufek (LW/C),LW/C
Jakub Ruckay (RW),SHK 37 Piestany,55,15,29,44,0.80,32,1,https://www.eliteprospects.com/player/22407/jakub-ruckay,2015-2016,slovakia,Jakub Ruckay (RW),RW
David Laliberté (RW),HK Nitra,37,19,23,42,1.14,18,18,https://www.eliteprospects.com/player/11124/david-laliberte,2015-2016,slovakia,David Laliberté (RW),RW
Tibor Varga (RW),totals,54,17,25,42,0.78,18,1,https://www.eliteprospects.com/player/41629/tibor-varga,2015-2016,slovakia,Tibor Varga (RW),RW
Arne Kroták (LW),HK Poprad,49,14,27,41,0.84,83,8,https://www.eliteprospects.com/player/27238/arne-krotak,2015-2016,slovakia,Arne Kroták (LW),LW
Marcel Holovic (LW),SHK 37 Piestany,45,15,25,40,0.89,34,2,https://www.eliteprospects.com/player/33145/marcel-holovic,2015-2016,slovakia,Marcel Holovic (LW),LW
Juraj Stefanka (LW/C),HK Nitra,52,14,26,40,0.77,36,6,https://www.eliteprospects.com/player/23417/juraj-stefanka,2015-2016,slovakia,Juraj Stefanka (LW/C),LW/C
Petr Obdrzalek (LW),HKM Zvolen,53,14,26,40,0.75,50,8,https://www.eliteprospects.com/player/35859/petr-obdrzalek,2015-2016,slovakia,Petr Obdrzalek (LW),LW
Jiri Bicek (LW/RW),HC Kosice,47,13,27,40,0.85,10,11,https://www.eliteprospects.com/player/5988/jiri-bicek,2015-2016,slovakia,Jiri Bicek (LW/RW),LW/RW
Richard Jencik (W/C),HC Kosice,54,10,30,40,0.74,14,24,https://www.eliteprospects.com/player/27299/richard-jencik,2015-2016,slovakia,Richard Jencik (W/C),W/C
Radoslav Macík (LW),HK Nitra,54,18,21,39,0.72,30,12,https://www.eliteprospects.com/player/75335/radoslav-macik,2015-2016,slovakia,Radoslav Macík (LW),LW
Marek Slovák (C),HK Nitra,54,11,28,39,0.72,56,21,https://www.eliteprospects.com/player/15192/marek-slovak,2015-2016,slovakia,Marek Slovák (C),C
Juraj Jurík (RW/C),HKM Zvolen,55,16,22,38,0.69,70,27,https://www.eliteprospects.com/player/93320/juraj-jurik,2015-2016,slovakia,Juraj Jurík (RW/C),RW/C
Pavel Brendl (RW),totals,52,22,13,35,0.67,72,-7,https://www.eliteprospects.com/player/5213/pavel-brendl,2015-2016,slovakia,Pavel Brendl (RW),RW
Jakub Gasparovic (RW),HK Dukla Trencin,54,14,21,35,0.65,34,-4,https://www.eliteprospects.com/player/34765/jakub-gasparovic,2015-2016,slovakia,Jakub Gasparovic (RW),RW
Roman Tománek (RW),HC Banska Bystrica,30,13,22,35,1.17,10,13,https://www.eliteprospects.com/player/18032/roman-tomanek,2015-2016,slovakia,Roman Tománek (RW),RW
Lukas Handlovsky (RW/LW),totals,54,12,23,35,0.65,16,10,https://www.eliteprospects.com/player/21685/lukas-handlovsky,2015-2016,slovakia,Lukas Handlovsky (RW/LW),RW/LW
Richard Rapac (LW/RW),HK Poprad,47,15,19,34,0.72,114,-3,https://www.eliteprospects.com/player/11636/richard-rapac,2015-2016,slovakia,Richard Rapac (LW/RW),LW/RW
Bruno Mraz (C/W),HKM Zvolen,55,12,22,34,0.62,22,20,https://www.eliteprospects.com/player/58004/bruno-mraz,2015-2016,slovakia,Bruno Mraz (C/W),C/W
Tomas Zigo (LW),HC Banska Bystrica,47,16,17,33,0.70,28,15,https://www.eliteprospects.com/player/70401/tomas-zigo,2015-2016,slovakia,Tomas Zigo (LW),LW
Vaclav Stupka (LW),MsHK Zilina,55,13,20,33,0.60,28,1,https://www.eliteprospects.com/player/53974/vaclav-stupka,2015-2016,slovakia,Vaclav Stupka (LW),LW
Radomir Heizer (C),HK Poprad,41,8,24,32,0.78,16,-2,https://www.eliteprospects.com/player/45998/radomir-heizer,2015-2016,slovakia,Radomir Heizer (C),C
Henrich Ruckay (LW),HK Nitra,37,19,12,31,0.84,36,6,https://www.eliteprospects.com/player/43785/henrich-ruckay,2015-2016,slovakia,Henrich Ruckay (LW),LW
Marek Bartánus (RW/LW),HC Kosice,47,12,19,31,0.66,28,6,https://www.eliteprospects.com/player/10608/marek-bartanus,2015-2016,slovakia,Marek Bartánus (RW/LW),RW/LW
Petr Stloukal (C),HK Nitra,52,17,13,30,0.58,26,4,https://www.eliteprospects.com/player/44797/petr-stloukal,2015-2016,slovakia,Petr Stloukal (C),C
Peter Galambos (C/LW),totals,54,13,17,30,0.56,16,8,https://www.eliteprospects.com/player/45936/peter-galambos,2015-2016,slovakia,Peter Galambos (C/LW),C/LW
Jamie Milam (D),HK Nitra,55,8,22,30,0.55,46,19,https://www.eliteprospects.com/player/15247/jamie-milam,2015-2016,slovakia,Jamie Milam (D),D
Tomas Hrnka (C),HC Kosice,52,18,11,29,0.56,14,11,https://www.eliteprospects.com/player/93311/tomas-hrnka,2015-2016,slovakia,Tomas Hrnka (C),C
Milan Kytnár (C),HC Banska Bystrica,55,12,17,29,0.53,32,3,https://www.eliteprospects.com/player/11850/milan-kytnar,2015-2016,slovakia,Milan Kytnár (C),C
Judd Blackwater (C/LW),HK Nitra,36,10,19,29,0.81,18,21,https://www.eliteprospects.com/player/13932/judd-blackwater,2015-2016,slovakia,Judd Blackwater (C/LW),C/LW
Michal Handzus (C),HC Banska Bystrica,40,12,16,28,0.70,36,2,https://www.eliteprospects.com/player/8683/michal-handzus,2015-2016,slovakia,Michal Handzus (C),C
Tibor Kutálek (RW),HK Nitra,55,11,17,28,0.51,10,4,https://www.eliteprospects.com/player/27660/tibor-kutalek,2015-2016,slovakia,Tibor Kutálek (RW),RW
Branislav Rapac (RW/LW),HK Poprad,32,10,18,28,0.88,43,3,https://www.eliteprospects.com/player/98032/branislav-rapac,2015-2016,slovakia,Branislav Rapac (RW/LW),RW/LW
Matej Cesik (C),HC Kosice,53,7,21,28,0.53,14,19,https://www.eliteprospects.com/player/15193/matej-cesik,2015-2016,slovakia,Matej Cesik (C),C
Jan Tabacek (D),MHC Martin,49,6,22,28,0.57,46,-1,https://www.eliteprospects.com/player/15839/jan-tabacek,2015-2016,slovakia,Jan Tabacek (D),D
Tibor Melicharek (RW/C),HK Dukla Trencin,55,19,8,27,0.49,14,-7,https://www.eliteprospects.com/player/10897/tibor-melicharek,2015-2016,slovakia,Tibor Melicharek (RW/C),RW/C
Lukas Paukovcek (C),HK Poprad,54,13,14,27,0.50,88,-7,https://www.eliteprospects.com/player/48146/lukas-paukovcek,2015-2016,slovakia,Lukas Paukovcek (C),C
Daniel Krejci (D),HKM Zvolen,54,12,14,26,0.48,40,8,https://www.eliteprospects.com/player/34793/daniel-krejci,2015-2016,slovakia,Daniel Krejci (D),D
Lubos Bartecko (LW),HK Poprad,46,8,18,26,0.57,4,-3,https://www.eliteprospects.com/player/5854/lubos-bartecko,2015-2016,slovakia,Lubos Bartecko (LW),LW
Fredrik Sandgren (D),HC Banska Bystrica,55,6,20,26,0.47,34,17,https://www.eliteprospects.com/player/1224/fredrik-sandgren,2015-2016,slovakia,Fredrik Sandgren (D),D
Michal Hlinka (C/LW),HK Dukla Trencin,42,12,13,25,0.60,120,12,https://www.eliteprospects.com/player/82646/michal-hlinka,2015-2016,slovakia,Michal Hlinka (C/LW),C/LW
Tomas Skvaridlo (RW),HKM Zvolen,50,12,13,25,0.50,26,7,https://www.eliteprospects.com/player/27219/tomas-skvaridlo,2015-2016,slovakia,Tomas Skvaridlo (RW),RW
Radek Deyl (D),HC Kosice,43,5,20,25,0.58,14,23,https://www.eliteprospects.com/player/28087/radek-deyl,2015-2016,slovakia,Radek Deyl (D),D
Eduard Sedivy (D),HC Kosice,54,5,20,25,0.46,24,14,https://www.eliteprospects.com/player/48066/eduard-sedivy,2015-2016,slovakia,Eduard Sedivy (D),D
Radoslav Suchý (D),HK Poprad,47,1,24,25,0.53,16,-3,https://www.eliteprospects.com/player/8621/radoslav-suchy,2015-2016,slovakia,Radoslav Suchý (D),D
Frantisek Skladany (RW/C),MHC Martin,31,12,12,24,0.77,4,-6,https://www.eliteprospects.com/player/13649/frantisek-skladany,2015-2016,slovakia,Frantisek Skladany (RW/C),RW/C
Robert Huna (C),MsHK Zilina,55,12,12,24,0.44,10,-10,https://www.eliteprospects.com/player/38390/robert-huna,2015-2016,slovakia,Robert Huna (C),C
Jakub Suja (LW/C),HC Kosice,54,10,14,24,0.44,14,2,https://www.eliteprospects.com/player/15196/jakub-suja,2015-2016,slovakia,Jakub Suja (LW/C),LW/C
Jozef Tibenský (C/LW),SHK 37 Piestany,55,10,14,24,0.44,22,-9,https://www.eliteprospects.com/player/149082/jozef-tibensky,2015-2016,slovakia,Jozef Tibenský (C/LW),C/LW
Jozef Stümpel (C),totals,47,4,19,23,0.49,10,-1,https://www.eliteprospects.com/player/8649/jozef-stumpel,2015-2016,slovakia,Jozef Stümpel (C),C
Edgars Brancis (C),SHK 37 Piestany,49,12,10,22,0.45,48,-10,https://www.eliteprospects.com/player/17900/edgars-brancis,2015-2016,slovakia,Edgars Brancis (C),C
Lukas Novak (RW/C),totals,43,10,12,22,0.51,100,5,https://www.eliteprospects.com/player/29044/lukas-novak,2015-2016,slovakia,Lukas Novak (RW/C),RW/C
Rene Skoliak (C),totals,52,7,15,22,0.42,44,-23,https://www.eliteprospects.com/player/10895/rene-skoliak,2015-2016,slovakia,Rene Skoliak (C),C
Richard Lelkes (C/RW),HC Kosice,44,6,16,22,0.50,36,18,https://www.eliteprospects.com/player/9660/richard-lelkes,2015-2016,slovakia,Richard Lelkes (C/RW),C/RW
Richard Huna (LW),MsHK Zilina,48,10,11,21,0.44,18,-7,https://www.eliteprospects.com/player/38391/richard-huna,2015-2016,slovakia,Richard Huna (LW),LW
Matus Palocko (LW),HK Poprad,35,8,13,21,0.60,28,0,https://www.eliteprospects.com/player/83455/matus-palocko,2015-2016,slovakia,Matus Palocko (LW),LW
Adam Drgon (D),HK Dukla Trencin,42,2,19,21,0.50,44,4,https://www.eliteprospects.com/player/43798/adam-drgon,2015-2016,slovakia,Adam Drgon (D),D
Emil Bagin (D),HKM Zvolen,55,2,19,21,0.38,61,9,https://www.eliteprospects.com/player/102786/emil-bagin,2015-2016,slovakia,Emil Bagin (D),D
Róbert Petrovický (C),HK Dukla Trencin,44,1,20,21,0.48,18,-5,https://www.eliteprospects.com/player/1916/robert-petrovicky,2015-2016,slovakia,Róbert Petrovický (C),C
Rastislav Konecny (LW/RW),MsHK Zilina,43,13,7,20,0.47,22,-1,https://www.eliteprospects.com/player/9295/rastislav-konecny,2015-2016,slovakia,Rastislav Konecny (LW/RW),LW/RW
Patrik Koys (RW/LW),totals,50,8,12,20,0.40,6,6,https://www.eliteprospects.com/player/60605/patrik-koys,2015-2016,slovakia,Patrik Koys (RW/LW),RW/LW
Samir Saliji (LW),totals,50,8,12,20,0.40,44,-15,https://www.eliteprospects.com/player/43790/samir-saliji,2015-2016,slovakia,Samir Saliji (LW),LW
Lauris Bajaruns (LW/RW),totals,53,8,12,20,0.38,14,-4,https://www.eliteprospects.com/player/28749/lauris-bajaruns,2015-2016,slovakia,Lauris Bajaruns (LW/RW),LW/RW
Ondrej Mikula (LW),totals,38,7,13,20,0.53,10,-5,https://www.eliteprospects.com/player/10607/ondrej-mikula,2015-2016,slovakia,Ondrej Mikula (LW),LW
Jaroslav Kasík (D),HK Poprad,51,7,13,20,0.39,77,4,https://www.eliteprospects.com/player/33160/jaroslav-kasik,2015-2016,slovakia,Jaroslav Kasík (D),D
Vladimir Nemec (LW/C),HK Dukla Trencin,37,6,14,20,0.54,8,-8,https://www.eliteprospects.com/player/27770/vladimir-nemec,2015-2016,slovakia,Vladimir Nemec (LW/C),LW/C
Dusan Pasek (C),totals,40,6,14,20,0.50,30,-5,https://www.eliteprospects.com/player/21491/dusan-pasek,2015-2016,slovakia,Dusan Pasek (C),C
Arturs Mickevics (RW/LW),HK 36 Skalica,46,6,14,20,0.43,6,-8,https://www.eliteprospects.com/player/34662/arturs-mickevics,2015-2016,slovakia,Arturs Mickevics (RW/LW),RW/LW
Lukas Matejka (D),MHC Martin,48,6,14,20,0.42,50,1,https://www.eliteprospects.com/player/43797/lukas-matejka,2015-2016,slovakia,Lukas Matejka (D),D
Ondrej Smach (D),HC Banska Bystrica,55,3,17,20,0.36,16,11,https://www.eliteprospects.com/player/22607/ondrej-smach,2015-2016,slovakia,Ondrej Smach (D),D
Koba Jass (LW),totals,41,2,18,20,0.49,28,-3,https://www.eliteprospects.com/player/28756/koba-jass,2015-2016,slovakia,Koba Jass (LW),LW
Filip Surovka (C),MHC Martin,45,11,8,19,0.42,6,4,https://www.eliteprospects.com/player/94950/filip-surovka,2015-2016,slovakia,Filip Surovka (C),C
Denis Hudec (RW),HK Dukla Trencin,54,10,9,19,0.35,47,-8,https://www.eliteprospects.com/player/97523/denis-hudec,2015-2016,slovakia,Denis Hudec (RW),RW
Andreas Strauch (LW/RW),HK Poprad,50,9,10,19,0.38,6,7,https://www.eliteprospects.com/player/99208/andreas-strauch,2015-2016,slovakia,Andreas Strauch (LW/RW),LW/RW
Ivan Datelinka (D),HC Banska Bystrica,51,9,10,19,0.37,64,29,https://www.eliteprospects.com/player/43800/ivan-datelinka,2015-2016,slovakia,Ivan Datelinka (D),D
Patrik Lamper (LW/RW),HC Banska Bystrica,49,8,11,19,0.39,30,9,https://www.eliteprospects.com/player/89373/patrik-lamper,2015-2016,slovakia,Patrik Lamper (LW/RW),LW/RW
Martin Bellus (RW),SHK 37 Piestany,51,8,11,19,0.37,168,-21,https://www.eliteprospects.com/player/95000/martin-bellus,2015-2016,slovakia,Martin Bellus (RW),RW
Stefan Fabian (D),HK Poprad,50,7,12,19,0.38,27,2,https://www.eliteprospects.com/player/41790/stefan-fabian,2015-2016,slovakia,Stefan Fabian (D),D
Michal Jurasko (D),HKM Zvolen,51,1,18,19,0.37,40,14,https://www.eliteprospects.com/player/41666/michal-jurasko,2015-2016,slovakia,Michal Jurasko (D),D
Milan Drevenak (LW),MsHK Zilina,46,12,6,18,0.39,30,-7,https://www.eliteprospects.com/player/43686/milan-drevenak,2015-2016,slovakia,Milan Drevenak (LW),LW
Jason Bast (C),HC Banska Bystrica,23,10,8,18,0.78,8,7,https://www.eliteprospects.com/player/11661/jason-bast,2015-2016,slovakia,Jason Bast (C),C
Tomas Klima (C),HKM Zvolen,46,8,10,18,0.39,20,4,https://www.eliteprospects.com/player/48183/tomas-klima,2015-2016,slovakia,Tomas Klima (C),C
Vladimir Skoda (C/D),MsHK Zilina,19,7,11,18,0.95,6,5,https://www.eliteprospects.com/player/23526/vladimir-skoda,2015-2016,slovakia,Vladimir Skoda (C/D),C/D
Radek Dlouhý (LW),HK Dukla Trencin,50,7,11,18,0.36,44,7,https://www.eliteprospects.com/player/24114/radek-dlouhy,2015-2016,slovakia,Radek Dlouhý (LW),LW
Miroslav Zatko (D),totals,56,3,15,18,0.32,54,-12,https://www.eliteprospects.com/player/77702/miroslav-zatko,2015-2016,slovakia,Miroslav Zatko (D),D
Marian Studenic (LW/RW),totals,39,8,9,17,0.44,20,-13,https://www.eliteprospects.com/player/305485/marian-studenic,2015-2016,slovakia,Marian Studenic (LW/RW),LW/RW
Filip Bajtek (RW),HK Nitra,52,7,10,17,0.33,44,14,https://www.eliteprospects.com/player/156007/filip-bajtek,2015-2016,slovakia,Filip Bajtek (RW),RW
Peter Boltun (C/LW),HC Kosice,53,7,10,17,0.32,10,14,https://www.eliteprospects.com/player/108931/peter-boltun,2015-2016,slovakia,Peter Boltun (C/LW),C/LW
Tomas Matousek (LW),HC Banska Bystrica,43,5,12,17,0.40,40,10,https://www.eliteprospects.com/player/66012/tomas-matousek,2015-2016,slovakia,Tomas Matousek (LW),LW
Michal Murcek (C),MHC Martin,50,5,12,17,0.34,52,-11,https://www.eliteprospects.com/player/40258/michal-murcek,2015-2016,slovakia,Michal Murcek (C),C
Martin Dudas (D),HC Kosice,51,5,12,17,0.33,66,29,https://www.eliteprospects.com/player/19686/martin-dudas,2015-2016,slovakia,Martin Dudas (D),D
Daniel Brejcak (D),MsHK Zilina,52,5,12,17,0.33,40,-1,https://www.eliteprospects.com/player/41793/daniel-brejcak,2015-2016,slovakia,Daniel Brejcak (D),D
Michal Novák (D),totals,53,4,13,17,0.32,53,9,https://www.eliteprospects.com/player/6040/michal-novak,2015-2016,slovakia,Michal Novák (D),D
Gabriel Spilar (RW/LW),HC Kosice,17,10,6,16,0.94,14,10,https://www.eliteprospects.com/player/19684/gabriel-spilar,2015-2016,slovakia,Gabriel Spilar (RW/LW),RW/LW
Lukas Jurik (C),HKM Zvolen,16,9,7,16,1.00,16,7,https://www.eliteprospects.com/player/31404/lukas-jurik,2015-2016,slovakia,Lukas Jurik (C),C
Tomas Pokrivcak (C),MHC Martin,41,5,11,16,0.39,24,-1,https://www.eliteprospects.com/player/34963/tomas-pokrivcak,2015-2016,slovakia,Tomas Pokrivcak (C),C
Jozef Svec (LW),HK Dukla Trencin,47,4,12,16,0.34,22,-5,https://www.eliteprospects.com/player/157397/jozef-svec,2015-2016,slovakia,Jozef Svec (LW),LW
Jakub Simicek (LW),SHK 37 Piestany,52,11,4,15,0.29,6,-3,https://www.eliteprospects.com/player/95608/jakub-simicek,2015-2016,slovakia,Jakub Simicek (LW),LW
Jozef Balej (RW),SHK 37 Piestany,18,9,6,15,0.83,26,4,https://www.eliteprospects.com/player/9641/jozef-balej,2015-2016,slovakia,Jozef Balej (RW),RW
Jan Homer (D),totals,38,6,9,15,0.39,32,15,https://www.eliteprospects.com/player/28420/jan-homer,2015-2016,slovakia,Jan Homer (D),D
Peter König (D),HK Nitra,48,5,10,15,0.31,24,5,https://www.eliteprospects.com/player/43780/peter-konig,2015-2016,slovakia,Peter König (D),D
Peter Hrehorcak (W),SHK 37 Piestany,55,4,11,15,0.27,28,-4,https://www.eliteprospects.com/player/96279/peter-hrehorcak,2015-2016,slovakia,Peter Hrehorcak (W),W
Janis Andersons (D),HKM Zvolen,51,3,12,15,0.29,14,5,https://www.eliteprospects.com/player/3826/janis-andersons,2015-2016,slovakia,Janis Andersons (D),D
Stepan Novotny (C/RW),MsHK Zilina,47,2,13,15,0.32,16,-6,https://www.eliteprospects.com/player/11833/stepan-novotny,2015-2016,slovakia,Stepan Novotny (C/RW),C/RW
Daniel Rzavský (LW/RW),MHC Martin,50,8,6,14,0.28,28,-11,https://www.eliteprospects.com/player/101673/daniel-rzavsky,2015-2016,slovakia,Daniel Rzavský (LW/RW),LW/RW
Vladimir Lantos (F),totals,53,8,6,14,0.26,42,-19,https://www.eliteprospects.com/player/74586/vladimir-lantos,2015-2016,slovakia,Vladimir Lantos (F),F
Martin Vozdecký (RW),HK Dukla Trencin,33,6,8,14,0.42,16,-9,https://www.eliteprospects.com/player/28383/martin-vozdecky,2015-2016,slovakia,Martin Vozdecký (RW),RW
Richard Filip (D),SHK 37 Piestany,53,6,8,14,0.26,50,-11,https://www.eliteprospects.com/player/43975/richard-filip,2015-2016,slovakia,Richard Filip (D),D
Michal Kabac (LW/C),MHC Martin,49,5,9,14,0.29,36,-4,https://www.eliteprospects.com/player/177051/michal-kabac,2015-2016,slovakia,Michal Kabac (LW/C),LW/C
Jan Tavoda (D),totals,49,5,9,14,0.29,105,13,https://www.eliteprospects.com/player/45941/jan-tavoda,2015-2016,slovakia,Jan Tavoda (D),D
Ondrej Rusnák (C),HK Poprad,41,4,10,14,0.34,24,12,https://www.eliteprospects.com/player/9499/ondrej-rusnak,2015-2016,slovakia,Ondrej Rusnák (C),C
Martins Gipters (D),SHK 37 Piestany,55,4,10,14,0.25,22,-7,https://www.eliteprospects.com/player/28755/martins-gipters,2015-2016,slovakia,Martins Gipters (D),D
Peter Podhradský (D),HK Nitra,50,3,11,14,0.28,34,1,https://www.eliteprospects.com/player/12210/peter-podhradsky,2015-2016,slovakia,Peter Podhradský (D),D
Juraj Cebák (D),HC Kosice,49,1,13,14,0.29,6,29,https://www.eliteprospects.com/player/41667/juraj-cebak,2015-2016,slovakia,Juraj Cebák (D),D
David Soltes (LW/RW),HC Kosice,34,9,4,13,0.38,10,10,https://www.eliteprospects.com/player/102975/david-soltes,2015-2016,slovakia,David Soltes (LW/RW),LW/RW
Jindrich Barak (D),HK 36 Skalica,46,8,5,13,0.28,32,-7,https://www.eliteprospects.com/player/41094/jindrich-barak,2015-2016,slovakia,Jindrich Barak (D),D
Peter Sojcik (C/RW),totals,24,7,6,13,0.54,20,3,https://www.eliteprospects.com/player/35669/peter-sojcik,2015-2016,slovakia,Peter Sojcik (C/RW),C/RW
Dalibor Bortnak (C),totals,48,6,7,13,0.27,14,8,https://www.eliteprospects.com/player/19356/dalibor-bortnak,2015-2016,slovakia,Dalibor Bortnak (C),C
Stanislav Hudec (D),SHK 37 Piestany,53,6,7,13,0.25,40,-5,https://www.eliteprospects.com/player/13966/stanislav-hudec,2015-2016,slovakia,Stanislav Hudec (D),D
Tomas Brnak (D),SHK 37 Piestany,30,5,8,13,0.43,6,-2,https://www.eliteprospects.com/player/22443/tomas-brnak,2015-2016,slovakia,Tomas Brnak (D),D
Tomas Kominek (RW),HK 36 Skalica,36,5,8,13,0.36,6,-20,https://www.eliteprospects.com/player/82309/tomas-kominek,2015-2016,slovakia,Tomas Kominek (RW),RW
Patrik Korytko (RW),HK 36 Skalica,38,4,9,13,0.34,26,1,https://www.eliteprospects.com/player/148970/patrik-korytko,2015-2016,slovakia,Patrik Korytko (RW),RW
Peter Ordzovenský (D),HK Nitra,55,2,11,13,0.24,8,12,https://www.eliteprospects.com/player/48604/peter-ordzovensky,2015-2016,slovakia,Peter Ordzovenský (D),D
Edmund Piacka (RW/C),HK Nitra,53,8,4,12,0.23,12,7,https://www.eliteprospects.com/player/95050/edmund-piacka,2015-2016,slovakia,Edmund Piacka (RW/C),RW/C
Rastislav Spirko (C/LW),MHC Martin,9,7,5,12,1.33,8,0,https://www.eliteprospects.com/player/9646/rastislav-spirko,2015-2016,slovakia,Rastislav Spirko (C/LW),C/LW
Patrik Stevuliak (LW),HK Poprad,53,6,6,12,0.23,45,-8,https://www.eliteprospects.com/player/177033/patrik-stevuliak,2015-2016,slovakia,Patrik Stevuliak (LW),LW
Jevgeni Missenjov (F),HKM Zvolen,23,5,7,12,0.52,6,6,https://www.eliteprospects.com/player/99874/jevgeni-missenjov,2015-2016,slovakia,Jevgeni Missenjov (F),F
Michal Hudec (LW/C),HC Banska Bystrica,28,4,8,12,0.43,18,2,https://www.eliteprospects.com/player/10848/michal-hudec,2015-2016,slovakia,Michal Hudec (LW/C),LW/C
Jan Dlouhý (D),MHC Martin,46,1,11,12,0.26,20,-6,https://www.eliteprospects.com/player/35665/jan-dlouhy,2015-2016,slovakia,Jan Dlouhý (D),D
Colton Gillies (C/W),HC Banska Bystrica,28,6,5,11,0.39,113,6,https://www.eliteprospects.com/player/11100/colton-gillies,2015-2016,slovakia,Colton Gillies (C/W),C/W
Jakub Drábek (RW),MsHK Zilina,36,5,6,11,0.31,30,1,https://www.eliteprospects.com/player/25149/jakub-drabek,2015-2016,slovakia,Jakub Drábek (RW),RW
Richard Pavlikovský (D),HK Dukla Trencin,45,5,6,11,0.24,24,-11,https://www.eliteprospects.com/player/123/richard-pavlikovsky,2015-2016,slovakia,Richard Pavlikovský (D),D
Matej Direr (C),MHC Martin,47,5,6,11,0.23,16,-11,https://www.eliteprospects.com/player/96599/matej-direr,2015-2016,slovakia,Matej Direr (C),C
Branislav Mezei (D),HK Nitra,43,4,7,11,0.26,54,10,https://www.eliteprospects.com/player/8653/branislav-mezei,2015-2016,slovakia,Branislav Mezei (D),D
Tomas Hricina (LW/RW),HC Kosice,48,4,7,11,0.23,6,9,https://www.eliteprospects.com/player/17725/tomas-hricina,2015-2016,slovakia,Tomas Hricina (LW/RW),LW/RW
Mislav Rosandic (D),HC Banska Bystrica,41,3,8,11,0.27,28,6,https://www.eliteprospects.com/player/106384/mislav-rosandic,2015-2016,slovakia,Mislav Rosandic (D),D
Matej Valasek (C),MsHK Zilina,52,2,9,11,0.21,20,2,https://www.eliteprospects.com/player/43692/matej-valasek,2015-2016,slovakia,Matej Valasek (C),C
Patrik Bacik (D),MHC Martin,48,1,10,11,0.23,48,-4,https://www.eliteprospects.com/player/163920/patrik-bacik,2015-2016,slovakia,Patrik Bacik (D),D
Juraj Milý (RW),totals,30,8,2,10,0.33,6,-8,https://www.eliteprospects.com/player/177027/juraj-mily,2015-2016,slovakia,Juraj Milý (RW),RW
Jozef Tomcak (C),SHK 37 Piestany,52,7,3,10,0.19,57,-4,https://www.eliteprospects.com/player/184371/jozef-tomcak,2015-2016,slovakia,Jozef Tomcak (C),C
Mário Lunter (LW/RW),HC Banska Bystrica,25,6,4,10,0.40,35,5,https://www.eliteprospects.com/player/89437/mario-lunter,2015-2016,slovakia,Mário Lunter (LW/RW),LW/RW
Peter Zuzin (C/LW),HKM Zvolen,31,6,4,10,0.32,20,-3,https://www.eliteprospects.com/player/93317/peter-zuzin,2015-2016,slovakia,Peter Zuzin (C/LW),C/LW
Miloslav Jachym (D),MHC Martin,39,6,4,10,0.26,20,1,https://www.eliteprospects.com/player/82475/miloslav-jachym,2015-2016,slovakia,Miloslav Jachym (D),D
Henrich Jabornik (D),totals,46,5,5,10,0.22,30,0,https://www.eliteprospects.com/player/34748/henrich-jabornik,2015-2016,slovakia,Henrich Jabornik (D),D
Matej Bene (RW),HK Nitra,55,5,5,10,0.18,24,4,https://www.eliteprospects.com/player/34737/matej-bene,2015-2016,slovakia,Matej Bene (RW),RW
Miroslav Zalesak (RW),totals,29,3,7,10,0.34,12,-8,https://www.eliteprospects.com/player/6664/miroslav-zalesak,2015-2016,slovakia,Miroslav Zalesak (RW),RW
Miroslav Macejko (D),HC Kosice,52,3,7,10,0.19,18,17,https://www.eliteprospects.com/player/70395/miroslav-macejko,2015-2016,slovakia,Miroslav Macejko (D),D
Niclas Lucenius (LW/C),HC Banska Bystrica,12,2,8,10,0.83,8,2,https://www.eliteprospects.com/player/9271/niclas-lucenius,2015-2016,slovakia,Niclas Lucenius (LW/C),LW/C
Samuel Petras (C/RW),SHK 37 Piestany,32,2,8,10,0.31,20,-4,https://www.eliteprospects.com/player/160841/samuel-petras,2015-2016,slovakia,Samuel Petras (C/RW),C/RW
Jan Novák (D),HK 36 Skalica,46,2,8,10,0.22,10,-12,https://www.eliteprospects.com/player/12234/jan-novak,2015-2016,slovakia,Jan Novák (D),D
